Agent,Agent Hierarchy Level Two,Routing Profile,StartInterval,EndInterval,Agent on contact time,Occupancy,Online time,Manager Approved time,Training time,Break time,Huddle time,Personal time,Meeting time,Project time,Lunch time,Lead Approved time,Leadership approved time,Unproductive time,Engagement time,Service level 20 seconds,Agent interaction time,Average handle time,Contacts handled
indfair,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,937,92.13%,1017,,,,,,,,,,,,,100.00%,823,156,6
indfair,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,1241,75.62%,1800,,,,,,,,,159,,,,100.00%,861,216,6
indfair,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,1782,99.00%,1800,,,,,,,,,,,,,100.00%,1533,217,8
indfair,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,57,95.00%,1800,,,,,,,,1740,,,,,100.00%,42,53,1
indfair,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,1489,88.29%,1800,,,,,,,,114,,,,,100.00%,1203,129,11
indfair,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,1588,88.22%,1800,,,,,,,,,,,,,100.00%,1184,142,11
indfair,Tenured,Specialty Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,1567,87.06%,1800,,,,,,,,,,,,,100.00%,1217,186,9
indfair,Tenured,Specialty Queue,2026-01-15T14:30:00.000-07:00,2026-01-15T15:00:00.000-07:00,1541,85.61%,1800,,,,,,,,,,,,,100.00%,1053,149,10
indfair,Tenured,Specialty Queue,2026-01-15T15:00:00.000-07:00,2026-01-15T15:30:00.000-07:00,1552,98.98%,1800,,,120,,112,,,,,,,,100.00%,1195,145,10
indfair,Tenured,Specialty Queue,2026-01-15T15:30:00.000-07:00,2026-01-15T16:00:00.000-07:00,856,93.76%,1800,,,795,,92,,,,,,,,85.71%,793,122,7
indfair,Tenured,Specialty Queue,2026-01-15T16:00:00.000-07:00,2026-01-15T16:30:00.000-07:00,1713,95.17%,1800,,,,,,,,,,,,,100.00%,1408,192,9
indfair,Tenured,Specialty Queue,2026-01-15T16:30:00.000-07:00,2026-01-15T17:00:00.000-07:00,1618,89.89%,1800,,,,,,,,,,,,,100.00%,1255,153,11
logever,Tenured,Spanish Escalation,2026-01-15T09:00:00.000-07:00,2026-01-15T09:30:00.000-07:00,1408,81.43%,1800,,,,,71,,,,,,,,100.00%,1098,93,15
logever,Tenured,Spanish Escalation,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,1287,90.83%,1800,,,,,263,,,120,,,,,100.00%,1144,98,13
logever,Tenured,Spanish Escalation,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,151,92.99%,1800,,,,,,,,1638,,,,,100.00%,141,148,1
logever,Tenured,Spanish Escalation,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,1455,80.83%,1800,,,,,,,,,,,,,100.00%,1355,85,16
logever,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,1475,81.94%,1800,,,,,,,,,,,,,100.00%,970,93,17
logever,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,1260,86.42%,1800,,,60,,,,,,,,282,,100.00%,857,156,8
logever,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,851,87.59%,1800,,,828,,,,,,,,,,100.00%,580,146,6
logever,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,1782,99.00%,1800,,,,,,,,,,,,,100.00%,1276,88,20
logever,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,1311,83.56%,1800,,,,,231,,,,,,,,100.00%,888,93,14
logever,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,1475,81.94%,1800,,,,,,,,,,,,,100.00%,1247,110,13
logever,Tenured,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,1486,82.56%,1800,,,,,,,,,,,,,100.00%,1247,135,11
tatlark,Tenured,Escalation Queue,2026-01-15T09:00:00.000-07:00,2026-01-15T09:30:00.000-07:00,1047,58.17%,1800,,,,,,,,,,,,,100.00%,893,162,6
tatlark,Tenured,Escalation Queue,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,1629,90.50%,1800,,,,,,,,,,,,,100.00%,1522,237,7
tatlark,Tenured,Escalation Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,1136,63.11%,1800,,,,,,,,,,,,,100.00%,742,216,5
tatlark,Tenured,Escalation Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,1448,80.44%,1800,,,,,,,,,,,,,100.00%,1083,149,9
tatlark,Tenured,Escalation Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,583,64.78%,1800,,,900,,,,,,,,,,100.00%,395,207,3
tatlark,Tenured,Escalation Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,1082,60.48%,1800,,,11,,,,,,,,,,100.00%,977,165,7
tatlark,Tenured,Escalation Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,1335,74.17%,1800,,,,,,,,,,,,,100.00%,1061,137,9
tatlark,Tenured,Escalation Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,1323,73.50%,1800,,,,,,,,,,,,,100.00%,928,211,6
tatlark,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,1252,71.95%,1800,,,,,,,,60,,,,,100.00%,1157,217,6
tatlark,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,56,65.00%,1800,,,,,,,,1714,,,,,100.00%,40,55,1
tatlark,Tenured,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,1110,61.67%,1800,,,,,,,,,,,,,80.00%,870,237,5
tatlark,Tenured,General Queue,2026-01-15T14:30:00.000-07:00,2026-01-15T15:00:00.000-07:00,965,53.61%,1800,,,,,,,,,,,,,100.00%,674,179,5
tatlark,Tenured,General Queue,2026-01-15T15:00:00.000-07:00,2026-01-15T15:30:00.000-07:00,1382,76.78%,1800,,,,,,,,,,,,,100.00%,1261,210,7
tatlark,Tenured,General Queue,2026-01-15T15:30:00.000-07:00,2026-01-15T16:00:00.000-07:00,1241,68.94%,1800,,,,,,,,,,,,,100.00%,984,141,9
tatlark,Tenured,General Queue,2026-01-15T16:00:00.000-07:00,2026-01-15T16:30:00.000-07:00,1325,73.61%,1800,,,,,,,,,,,,,100.00%,903,137,9
tatlark,Tenured,General Queue,2026-01-15T16:30:00.000-07:00,2026-01-15T17:00:00.000-07:00,743,81.97%,1800,,,894,,,,,,,,,,100.00%,687,148,5
noenort,Tenured,General Queue,2026-01-15T09:00:00.000-07:00,2026-01-15T09:30:00.000-07:00,788,79.52%,991,,,,,,,,,,,,,100.00%,738,110,7
noenort,Tenured,General Queue,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,1384,76.89%,1800,,,,,,,,,,,,,100.00%,1221,101,13
noenort,Tenured,General Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,1260,70.00%,1800,,,,,,,,,,,,,100.00%,925,102,13
noenort,Tenured,General Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,765,75.00%,1800,,,780,,,,,,,,,,100.00%,720,116,7
noenort,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,93,62.83%,1800,,1160,119,,,,,,373,,,,100.00%,69,88,1
noenort,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,453,71.56%,1800,,1167,,,,,,,,,,,100.00%,418,117,4
noenort,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,1353,75.17%,1800,,,,,,,,,,,,,100.00%,1129,146,10
noenort,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,869,68.91%,1800,,,,,419,,,120,,,,,66.67%,797,145,6
noenort,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,,,1800,,,,,83,,,1726,,,,,,,,
noenort,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,1184,65.78%,1800,,,,,,,,,,,,,100.00%,804,118,10
noenort,Tenured,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,1341,74.50%,1800,,,,,,,,,,,,,100.00%,932,104,12
noenort,Tenured,General Queue,2026-01-15T14:30:00.000-07:00,2026-01-15T15:00:00.000-07:00,1089,60.50%,1800,,,,,,,,,,,,,100.00%,864,115,10
noenort,Tenured,General Queue,2026-01-15T15:00:00.000-07:00,2026-01-15T15:30:00.000-07:00,1473,81.83%,1800,,,,,,,,,,,,,83.33%,1026,126,12
noenort,Tenured,General Queue,2026-01-15T15:30:00.000-07:00,2026-01-15T16:00:00.000-07:00,1200,66.67%,1800,,,,,,,,,,,,,100.00%,910,82,14
noenort,Tenured,General Queue,2026-01-15T16:00:00.000-07:00,2026-01-15T16:30:00.000-07:00,734,82.89%,1800,,,914,,,,,,,,,,100.00%,607,76,9
noenort,Tenured,General Queue,2026-01-15T16:30:00.000-07:00,2026-01-15T17:00:00.000-07:00,1014,65.72%,1800,,,,,257,,,,,,,,100.00%,736,91,12
valcall,Tenured,General Queue,2026-01-15T09:00:00.000-07:00,2026-01-15T09:30:00.000-07:00,1404,81.87%,1715,,,,,,,,,,,,,100.00%,1177,101,13
valcall,Tenured,General Queue,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,1532,85.11%,1800,,,,,,,,,,,,,100.00%,1403,141,11
valcall,Tenured,General Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,1690,93.89%,1800,,,,,,,,,,,,,100.00%,1437,151,11
valcall,Tenured,General Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,520,92.26%,1800,,,907,,329,,,,,,,,100.00%,363,106,5
valcall,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,1480,82.22%,1800,,,,,,,,,,,,,100.00%,1143,112,13
valcall,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,1467,81.50%,1800,,,,,,,,,,,,,100.00%,1318,98,16
valcall,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,753,75.75%,994,,,,,,,,,,,,,100.00%,545,141,5
valcall,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,1299,72.17%,1800,,,,,,,,,,,,,100.00%,1027,146,9
valcall,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,1288,71.56%,1800,,,,,,,,,,,,,100.00%,944,114,12
valcall,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,50,83.33%,1800,,,,,,,,1740,,,,,100.00%,35,48,1
valcall,Tenured,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,1314,75.80%,1800,,,,,,,,67,,,,,100.00%,916,117,11
valcall,Tenured,General Queue,2026-01-15T14:30:00.000-07:00,2026-01-15T15:00:00.000-07:00,1226,68.11%,1800,,,,,,,,,,,,,71.43%,848,166,7
valcall,Tenured,General Queue,2026-01-15T15:00:00.000-07:00,2026-01-15T15:30:00.000-07:00,1654,91.89%,1800,,,,,,,,,,,,,100.00%,1314,146,11
valcall,Tenured,General Queue,2026-01-15T15:30:00.000-07:00,2026-01-15T16:00:00.000-07:00,646,69.15%,1800,,,866,,,,,,,,,,100.00%,580,124,5
valcall,Tenured,General Queue,2026-01-15T16:00:00.000-07:00,2026-01-15T16:30:00.000-07:00,1741,96.72%,1800,,,,,,,,,,,,,100.00%,1648,128,13
valcall,Tenured,General Queue,2026-01-15T16:30:00.000-07:00,2026-01-15T17:00:00.000-07:00,1048,65.01%,1800,,,,,188,,,,,,,,100.00%,864,111,10
wreking,Tenured,General Queue,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,530,76.26%,1098,,,,,403,,,,,,,,100.00%,463,122,4
wreking,Tenured,General Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,1626,90.33%,1800,,,,,,,,,,,,,100.00%,1399,80,21
wreking,Tenured,General Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,1613,89.61%,1800,,,,,,,,,,,,,100.00%,1460,132,13
wreking,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,1601,96.04%,1800,,,,,133,,,,,,,,100.00%,1281,107,15
wreking,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,694,77.42%,1800,,,904,,,,,,,,,,100.00%,564,137,5
wreking,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,1516,84.22%,1800,,,,,,,,,,,,,100.00%,1334,104,14
wreking,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,1384,76.89%,1800,,,,,,,,,,,,,100.00%,1306,92,14
wreking,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,1523,84.61%,1800,,,,,,,,,,,,,100.00%,1235,117,14
wreking,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,1436,79.78%,1800,,,,,,,,,,,,,84.62%,984,110,13
wreking,Tenured,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,1228,68.22%,1800,,,,,,,,,,,,,100.00%,984,128,10
danpemb,Tenured,General Queue,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,811,86.65%,1140,,,,,204,,,,,,,,100.00%,735,117,7
danpemb,Tenured,General Queue,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,1782,99.00%,1800,,,,,,,,,,,,,100.00%,1210,80,24
danpemb,Tenured,General Queue,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,1511,90.32%,1800,,,,,127,,,,,,,,100.00%,1271,105,15
danpemb,Tenured,General Queue,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,1525,90.77%,1800,,,120,,,,,,,,,,92.31%,1068,123,13
danpemb,Tenured,General Queue,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,788,79.29%,1800,,,806,,,,,,,,,,100.00%,574,118,7
danpemb,Tenured,General Queue,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,1476,85.57%,1800,,,,,75,,,,,,,,95.00%,1393,79,20
danpemb,Tenured,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,1578,93.71%,1800,,,,,116,,,,,,,,100.00%,1118,100,17
danpemb,Tenured,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,1526,84.78%,1800,,,,,,,,,,,,,100.00%,1169,92,16
danpemb,Tenured,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,1377,81.87%,1800,,,,,118,,,,,,,,100.00%,1232,102,13
danpemb,Tenured,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,941,72.44%,1299,,,,,,,,,,,,,100.00%,887,91,10
yardunm,Lead,Lead,2026-01-15T09:00:00.000-07:00,2026-01-15T09:30:00.000-07:00,,0.00%,1778,,,,,,,,,,,,,,,,
yardunm,Lead,Lead,2026-01-15T09:30:00.000-07:00,2026-01-15T10:00:00.000-07:00,,0.00%,1800,,,,,,,,,,,,,,,,
yardunm,Lead,Lead,2026-01-15T10:00:00.000-07:00,2026-01-15T10:30:00.000-07:00,,0.00%,1800,,,,,,,,,,,,,,,,
yardunm,Lead,Lead,2026-01-15T10:30:00.000-07:00,2026-01-15T11:00:00.000-07:00,,0.00%,1800,,,,,,,,,,,,,,,,
yardunm,Lead,Lead,2026-01-15T11:00:00.000-07:00,2026-01-15T11:30:00.000-07:00,,0.00%,1800,,,,,,,,,,,,,,,,
yardunm,Lead,Lead,2026-01-15T11:30:00.000-07:00,2026-01-15T12:00:00.000-07:00,,0.00%,1800,,,,,,,,,,,,,,,,
yardunm,Lead,Lead,2026-01-15T12:00:00.000-07:00,2026-01-15T12:30:00.000-07:00,,0.00%,1800,,,,,,1069,,,,,,,,,,
yardunm,Lead,Lead,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,,0.00%,1800,,,,,,,,,,,,,,,,
yardunm,Lead,Lead,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,,0.00%,1800,,,,,,,,,,,,,,,,
yardunm,Lead,Lead,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,,0.00%,1800,,,,,,,,,,,,,,,,
yardunm,Lead,Lead,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,,0.00%,1800,,,,,322,,,,,,,,,,,
yardunm,Lead,Escalation Queue,2026-01-15T14:30:00.000-07:00,2026-01-15T15:00:00.000-07:00,1235,82.66%,1800,,,,,306,,,,,,,,92.86%,1110,92,14
yardunm,Lead,Escalation Queue,2026-01-15T15:00:00.000-07:00,2026-01-15T15:30:00.000-07:00,1035,65.14%,1800,,,,,211,,,,,,,,100.00%,683,78,13
yardunm,Lead,Escalation Queue,2026-01-15T15:30:00.000-07:00,2026-01-15T16:00:00.000-07:00,1284,71.33%,1800,,,,,,,,,,,,,92.31%,1127,91,13
yardunm,Lead,Escalation Queue,2026-01-15T16:00:00.000-07:00,2026-01-15T16:30:00.000-07:00,963,84.92%,1134,,,,,,,,,,,,,100.00%,649,112,8
yardunm,Lead,Escalation Queue,2026-01-15T16:30:00.000-07:00,2026-01-15T17:00:00.000-07:00,1213,67.39%,1800,,,,,,,,,,,,,100.00%,817,103,12
sagbrig,New Hire,General Queue,2026-01-15T12:30:00.000-07:00,2026-01-15T13:00:00.000-07:00,,,1800,,1800,,,,,,,,,,,,,,
sagbrig,New Hire,General Queue,2026-01-15T13:00:00.000-07:00,2026-01-15T13:30:00.000-07:00,,,1800,,1800,,,312,,,,,,,,,,,
sagbrig,New Hire,General Queue,2026-01-15T13:30:00.000-07:00,2026-01-15T14:00:00.000-07:00,,,1800,,1800,,,,,,,,,,,,,,
sagbrig,New Hire,General Queue,2026-01-15T14:00:00.000-07:00,2026-01-15T14:30:00.000-07:00,,,1800,,1800,,,,,,,,,,,,,,
sagbrig,New Hire,General Queue,2026-01-15T14:30:00.000-07:00,2026-01-15T15:00:00.000-07:00,1325,84.02%,1800,,223,,,,,,,,,,,100.00%,913,90,14
sagbrig,New Hire,General Queue,2026-01-15T15:00:00.000-07:00,2026-01-15T15:30:00.000-07:00,1207,83.94%,1800,,362,,,,,,,,,,,100.00%,927,106,11
sagbrig,New Hire,General Queue,2026-01-15T15:30:00.000-07:00,2026-01-15T16:00:00.000-07:00,724,57.28%,1800,,536,,,,,,,,,,,100.00%,575,78,9
sagbrig,New Hire,General Queue,2026-01-15T16:00:00.000-07:00,2026-01-15T16:30:00.000-07:00,1135,66.34%,1800,,89,,,,,,,,,,,80.00%,1012,114,10
sagbrig,New Hire,General Queue,2026-01-15T16:30:00.000-07:00,2026-01-15T17:00:00.000-07:00,1019,61.39%,1800,,140,,,,,,,,,,,100.00%,720,117,9
